,Location,Building Model,Overlay District,Improvements,Land,Total
10782,20 TAFT AVE,Residential,,39.04382470119522,10.053859964093357,19.05940594059406
7759,1359R MASSACHUSETTS AVE,Residential,,-1.146131805157593,9.93485342019544,5.919003115264798
5602,16 HOMESTEAD ST,Residential,,11.548556430446194,10.0,10.640608034744844
12483,253 WORTHEN RD E,Residential,,17.272727272727273,10.06825938566553,12.663755458515283
12520,253 WORTHEN RD E,Residential,,17.272727272727273,10.06825938566553,12.663755458515283
4943,9 HAMILTON RD,Residential,,20.402298850574713,9.96309963099631,14.04494382022472
11367,38 WACHUSETT DR,Residential,,11.618257261410788,10.058309037900875,10.463861920172599
12311,135 WOOD ST,Residential,,11.264367816091953,10.0,10.582010582010582
5763,4 JEAN RD,Residential,,12.0,9.98248686514886,10.749185667752444
1198,118 BLAKE RD,Residential,,10.882352941176471,10.032894736842106,10.337552742616033
2307,5 CLYDE PL,Residential,,14.583333333333334,9.95260663507109,11.949685534591195
11579,624 WALTHAM ST,Residential,,11.494252873563218,10.0,10.687830687830688
7341,429 MARRETT RD,Residential,VO,4.282115869017632,3.4257748776508974,3.762376237623762
5245,27 HAYES LN,Residential,,14.696485623003195,9.838709677419356,11.468381564844588
4137,38 FLETCHER AVE,Residential,,11.389521640091116,10.059171597633137,10.676532769556026
11062,29 TYLER RD,Residential,,20.735785953177256,10.01589825119237,13.469827586206899
4175,5 FLINTLOCK RD,Residential,,15.047021943573668,9.967320261437909,11.707841031149302
2532,18 CONSTITUTION RD,Residential,,15.568862275449103,10.016420361247947,11.983032873807
11414,WALTHAM ST, ,,,6.281156530408774,6.281156530408774
11012,58 TURNING MILL RD,Residential,,21.47887323943662,10.048622366288493,13.65149833518313
5978,7 KIMBALL RD,Residential,,11.881188118811881,9.883720930232558,10.760869565217392
3973,36 FERN ST,Residential,,15.068493150684931,9.927797833935017,12.19758064516129
11,16 PEACHTREE RD,Residential,,20.37735849056604,9.82839313572543,12.91390728476821
5068,31 HARDING RD,Residential,,11.30952380952381,10.016420361247947,10.476190476190476
11560,449 WALTHAM ST,Residential,,37.745098039215684,9.887640449438202,23.212192262602578
