,Location,Building Model,Overlay District,Improvements,Land,Total
820,95-97 BEDFORD ST #97,Res Condo,,6.8370607028754,,6.8370607028754
778,95-97 BEDFORD ST #95,Res Condo,VO,6.8370607028754,,6.8370607028754
5682,31 INDEPENDENCE AVE,Residential,,14.781297134238311,10.024154589371982,12.139503688799463
5638,7 HUNT RD,Residential,,6.844106463878327,10.079575596816976,8.425145819831497
9887,29 SADDLE CLUB RD,Residential,,6.656804733727811,10.057803468208093,8.565866320571057
1623,53 BUCKMAN DR,Residential,,0.7974481658692184,9.926082365364309,6.289707750952986
1890,5 CAROL LN,Residential,,6.451612903225806,9.987966305655837,8.354922279792747
1584,11 BRYANT RD,Residential,,6.588235294117648,9.885386819484241,8.074935400516797
1619,35 BUCKMAN DR,Residential,,6.47985989492119,9.967497291440953,8.634538152610443
8225,5 MOHAWK DR,Residential,,14.97076023391813,10.047846889952153,12.887989203778677
7763,1377 MASSACHUSETTS AVE,Residential,,5.542168674698795,10.082872928176796,7.657657657657657
8382,22 MUZZEY ST,Residential,,6.773399014778326,9.959072305593452,8.284789644012944
7944,2139 MASSACHUSETTS AVE,Residential,,5.511022044088176,9.734513274336283,7.037747920665387
5691,19 INGLESIDE RD,Residential,,6.425233644859812,10.115606936416185,8.074935400516797
2344,9 COLONY RD,Residential,,6.480304955527319,9.868421052631579,8.144796380090497
5225,32 HAYES AVE,Residential,,6.842923794712286,9.910913140311804,8.63075924724205
5846,6 JOSEPH RD,Res Condo,,,,
10276,28 SKYVIEW RD,Residential,,16.263736263736263,10.0,13.877551020408163
11251,3 VILES RD,Residential,,10.098176718092567,10.024752475247526,10.059171597633137
605,14 BASKIN RD,Residential,,22.098569157392685,9.951456310679612,15.209910529938059
9680,75 ROBBINS RD,Residential,,6.497175141242938,10.03584229390681,8.414239482200648
2130,32 CHASE AVE,Residential,,5.522088353413655,9.84182776801406,7.092651757188498
4802,6 GREY OAKS CIR,Res Condo,,24.88822652757079,,24.88822652757079
1462,25 BRENT RD,Residential,,14.968152866242038,10.034602076124568,12.107023411371237
7960,2414 MASSACHUSETTS AVE,Residential,,16.26848691695108,10.1010101010101,13.781398506449424
7895,1906 MASSACHUSETTS AVE,Residential,,5.5222088835534215,10.082872928176796,7.642903018625562
11104,17 UTICA ST,Residential,,13.987730061349692,9.852941176470589,12.107023411371237
8050,18 MERIAM ST,Residential,,6.432748538011696,9.965237543453071,8.403361344537815
6703,17 LORING RD,Residential,,9.806835066864785,9.964830011723329,9.895150720838794
5748,32 JAMES ST,Residential,,16.270337922403,10.0,13.387423935091277
1852,5 CAMDEN ST,Residential,,12.83236994219653,10.047095761381476,11.651131824234353
12347,108 WOOD ST,Residential,,11.475409836065573,9.888059701492537,10.912698412698413
4299,18 FOREST ST,Residential,,4.676753782668501,10.096153846153847,7.568954457985888
8229,4 MOON HILL RD,Residential,,9.334889148191365,10.119047619047619,9.679529103989536
12384,18 WOODCLIFFE RD,Residential,,16.102683780630105,10.0,13.540961408259985
8191,14 MILK ST,Residential,,31.978319783197833,9.87460815047022,21.7296511627907
12382,38 WOODCLIFFE RD,Residential,,16.28175519630485,9.983633387888707,13.676371022342588
4875,37 GROVE ST,Residential,,5.35931790499391,10.0,7.559256886611148
9426,17 PROSPECT HILL RD,Residential,,174.07407407407408,10.013908205841446,60.97794822627037
1411,10 BOWKER ST,Residential,,371.3636363636364,35.44303797468354,141.9308357348703
10003,11 SCOTT RD,Residential,,14.85884101040119,9.951456310679612,12.157648630594522
